x   n           ,0       ,1       ,2       ,3       ,4       ,5       ,6       ,7       ,8       ,9       ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20      ,21      ,22      ,23      ,24      ,25      ,26      ,27      ,28      ,29      ,30      ,31      ,32       ,33      
39  ajos        ,s       ,kse     ,st      ,kse     ,kse     ,ksee    ,kse     ,kse     ,kse     ,kse     ,kse     ,kse     ,kse     ,ksi     ,ksi     ,ks      ,ks      ,ksi     ,ks      ,ks      ,ks      ,ks      ,ks      ,ks      ,ks      ,ksi     ,!       ,!       ,!       ,s       ,ksi     ,ks      ,ksi     ,!       
40  etuus       ,s       ,de      ,tt      ,de      ,de      ,tee     ,de      ,de      ,de      ,te      ,de      ,de      ,de      ,ksi     ,ksi     ,ks      ,ks      ,ksi     ,ks      ,ks      ,ks      ,ks      ,ks      ,ks      ,ks      ,ksi     ,!       ,!       ,!       ,!       ,ksi     ,ks      ,ksi     ,!       
41  rakas       ,s       ,_       ,st      ,_       ,_       ,see_    ,_       ,_       ,_       ,_       ,_       ,_       ,_       ,id      ,it      ,        ,        ,isi     ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,isi     ,        ,!       ,        
42  mies        ,s       ,he      ,st      ,he      ,he      ,hee     ,he      ,he      ,he      ,he      ,he      ,he      ,he      ,hi      ,hi      ,h       ,h       ,!       ,h       ,h       ,h       ,h       ,h       ,h       ,h       ,hi      ,!       ,!       ,!       ,s       ,hi      ,        ,hi      ,!       
43  immyt       ,t       ,e       ,tt      ,e       ,e       ,ee      ,e       ,e       ,e       ,e       ,e       ,e       ,e       ,id      ,it      ,        ,        ,isi     ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,isi     ,        ,!       ,        
44  kevät       ,t       ,a       ,tt      ,a       ,a       ,asee    ,a       ,a       ,a       ,a       ,a       ,a       ,a       ,id      ,it      ,        ,        ,isi     ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,isi     ,        ,!       ,        
45  sadas       ,s       ,nne     ,tt      ,nne     ,nne     ,ntee    ,nne     ,nne     ,nne     ,nte     ,nne     ,nne     ,nne     ,nsi     ,nsi     ,ns      ,ns      ,nsi     ,ns      ,ns      ,ns      ,ns      ,ns      ,ns      ,ns      ,nsi     ,!       ,!       ,!       ,!       ,nsi     ,ns      ,nsi     ,!       
46  tuhat       ,t       ,nne     ,tt      ,nne     ,nne     ,ntee    ,nne     ,nne     ,nne     ,nte     ,nne     ,nne     ,nne     ,nsi     ,nsi     ,ns      ,ns      ,nsi     ,ns      ,ns      ,ns      ,ns      ,ns      ,ns      ,ns      ,nsi     ,!       ,!       ,!       ,n       ,nsi     ,ns      ,nsi     ,!       
47  mennyt      ,t       ,ee-     ,tt      ,ee-     ,ee-     ,eesee-   ,ee-     ,ee-     ,ee-     ,ee-     ,ee-     ,ee-     ,ee-     ,eid-    ,eit-    ,e-      ,e-      ,eisi    ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,e-      ,!       ,e-      ,e-      ,!       ,!       ,eisi-   ,e-      ,!       ,e-      
48  hake        ,        ,_       ,tt      ,_       ,_       ,see_    ,_       ,_       ,_       ,_       ,_       ,_       ,_       ,id      ,it      ,        ,        ,isi     ,        ,        ,        ,        ,        ,        ,        ,!       ,        ,        ,!       ,!       ,eisi-    ,e-      ,!       ,        
49  kinner      ,        ,ee      ,t       ,ee      ,ee      ,eesee   ,ee      ,ee      ,ee      ,ee      ,ee      ,ee      ,ee      ,e       ,i       ,        ,        ,i       ,        ,        ,        ,        ,        ,        ,        ,i       ,e       ,e       ,!       ,        ,i       ,e       ,i       ,e       
